
ACME Inc.               Uso do espaço em disco pelos usuários
------------------------------------------------------------------------
Nr.  Usuário        Espaço utilizado     % do uso
    
1 alexandre           434.99 MB            1.08%
2 anderson           1187.99 MB            2.94%
3 antonio             117.74 MB            0.29%
4 carlos               87.03 MB            0.22%
5 cesar                 0.94 MB             0.0%
6 rosemary            752.88 MB            1.86%
7 fernanda.rocha       118.8 MB            0.29%
8 gabriel.costa         43.2 MB            0.11%
9 beatriz.santos      857.47 MB            2.12%
10 tiago.oliveira       12.21 MB            0.03%
11 larissa.lima       1383.69 MB            3.42%
12 marcos.silva        316.76 MB            0.78%
13 juliana.souza       742.34 MB            1.84%
14 ricardo.pereira      53.03 MB            0.13%
15 aline.ferreira     1049.25 MB             2.6%
16 bruno.almeida        93.89 MB            0.23%
17 carla.rodrigues     615.41 MB            1.52%
18 diego.gomes        1163.58 MB            2.88%
19 elisa.martins        84.78 MB            0.21%
20 felipe.araujo       529.05 MB            1.31%
21 gabriela.pinto     1239.97 MB            3.07%
22 hugo.barbosa         44.97 MB            0.11%
23 isabela.castro       879.1 MB            2.18%
24 joao.ribeiro        319.86 MB            0.79%
25 karina.carvalho     107.72 MB            0.27%
26 lucas.mendes        752.54 MB            1.86%
27 mariana.nunes       424.96 MB            1.05%
28 nicolas.frota       921.36 MB            2.28%
29 olivia.paiva          2.72 MB            0.01%
30 pedro.vieira       1143.84 MB            2.83%
31 renata.machado       64.21 MB            0.16%
32 samuel.correia      805.76 MB            1.99%
33 tatiane.bezerra     149.01 MB            0.37%
34 vitor.tavares       889.87 MB             2.2%
35 yasmin.farias        42.72 MB            0.11%
36 andre.cavalcante    1144.89 MB            2.83%
37 bianca.queiroz      296.71 MB            0.73%
38 caio.sales          742.39 MB            1.84%
39 daniela.lins         18.88 MB            0.05%
40 eduardo.porto      1006.22 MB            2.49%
41 flavia.moura         84.54 MB            0.21%
42 guilherme.maia       603.1 MB            1.49%
43 helena.leite        420.78 MB            1.04%
44 igor.batista       1230.38 MB            3.04%
45 jessica.duarte       74.29 MB            0.18%
46 kleber.freitas       488.7 MB            1.21%
47 larissa.viana        32.04 MB            0.08%
48 murilo.aguiar       1049.8 MB             2.6%
49 natalia.rebelo      434.99 MB            1.08%
50 otavio.dantas        85.31 MB            0.21%
51 patricia.borges    1356.44 MB            3.36%
52 quezia.amorim       243.28 MB             0.6%
53 rafael.campos       636.58 MB            1.58%
54 sabrina.guimaraes      10.68 MB            0.03%
55 thiago.fontes       848.67 MB             2.1%
56 ursula.leal         413.37 MB            1.02%
57 valter.peixoto       94.53 MB            0.23%
58 walter.serpa       1197.62 MB            2.96%
59 xavier.brito        319.15 MB            0.79%
60 yago.valente        630.76 MB            1.56%
61 zuleica.coelho       43.77 MB            0.11%
62 arthur.fagundes     752.02 MB            1.86%
63 barbara.lobo        106.91 MB            0.26%
64 claudio.assuncao     859.15 MB            2.13%
65 debora.neves        116.66 MB            0.29%
66 erick.prado           42.1 MB             0.1%
67 fabiana.vasconcelos    1271.63 MB            3.15%
68 gabriel.andrade     203.04 MB             0.5%
69 heitor.melo          52.57 MB            0.13%
70 isis.teles         1135.25 MB            2.81%
71 jorge.vargas        423.19 MB            1.05%
72 kauan.lopes          64.66 MB            0.16%
73 leticia.figueiredo     841.62 MB            2.08%
74 mario.antunes      1387.74 MB            3.43%
75 nayara.bastos       317.19 MB            0.78%
76 oscar.cordeiro       94.53 MB            0.23%
77 priscila.guerrero     740.48 MB            1.83%
78 quiteria.morais      11.73 MB            0.03%
79 ronaldo.pacheco    1049.18 MB             2.6%
80 simone.rezende        0.04 MB             0.0%

 - Espaço total ocupado: 40411.22 MB
 - Espaço médio ocupado: 505.14 MB
