
ACME Inc.               Uso do espaço em disco pelos usuários
------------------------------------------------------------------------
Nr.  Usuário        Espaço utilizado     % do uso
    
1 alexandre           434.99 MB            0.09%
2 anderson           1187.99 MB            0.24%
3 antonio             117.74 MB            0.02%
4 carlos               87.03 MB            0.02%
5 cesar                 0.94 MB             0.0%
6 rosemary            752.88 MB            0.15%
7 luigi_c            1164.39 MB            0.23%
8 dr._r              1652.46 MB            0.33%
9 raul_m              1208.4 MB            0.24%
10 maria_l             742.73 MB            0.15%
11 oliver_a             15.29 MB             0.0%
12 maria_m             449.54 MB            0.09%
13 ana_p               443.78 MB            0.09%
14 srta._c            1668.33 MB            0.33%
15 francisco_n        1216.57 MB            0.24%
16 sr._c               402.96 MB            0.08%
17 sra._s               30.83 MB            0.01%
18 marcelo_n           879.98 MB            0.17%
19 marcos_g           1713.29 MB            0.34%
20 sra._c              880.74 MB            0.17%
21 dr._f              1668.61 MB            0.33%
22 anthony_a          1845.37 MB            0.37%
23 heitor_l            815.41 MB            0.16%
24 alexia_l           1754.19 MB            0.35%
25 gabriel_b           641.19 MB            0.13%
26 thomas_m            155.83 MB            0.03%
27 maitê_p            1354.86 MB            0.27%
28 andré_b            1288.81 MB            0.26%
29 eloá_p             1526.95 MB             0.3%
30 sophia_p           1429.65 MB            0.28%
31 antônio_p          1716.84 MB            0.34%
32 liam_s             1351.07 MB            0.27%
33 ana_c               518.62 MB             0.1%
34 ravy_m               661.5 MB            0.13%
35 isabel_c           1659.89 MB            0.33%
36 paulo_s             469.92 MB            0.09%
37 oliver_c            839.31 MB            0.17%
38 joão_m              345.85 MB            0.07%
39 srta._s              343.7 MB            0.07%
40 diego_c            1698.62 MB            0.34%
41 srta._p            1581.11 MB            0.31%
42 ana_g               1305.5 MB            0.26%
43 joão_c              730.01 MB            0.14%
44 beatriz_o           655.53 MB            0.13%
45 maya_v             1196.88 MB            0.24%
46 dra._d               82.62 MB            0.02%
47 davi_g              1025.4 MB             0.2%
48 lucca_c             424.12 MB            0.08%
49 aurora_c            365.59 MB            0.07%
50 eduarda_p            24.05 MB             0.0%
51 alana_c            1002.58 MB             0.2%
52 emanuel_c            976.6 MB            0.19%
53 eduarda_s           395.06 MB            0.08%
54 alana_l            1313.14 MB            0.26%
55 marcelo_s           729.45 MB            0.14%
56 giovanna_m         1016.25 MB             0.2%
57 lucca_n             194.95 MB            0.04%
58 enzo_p              593.82 MB            0.12%
59 ayla_m             1075.84 MB            0.21%
60 maria_a            1102.22 MB            0.22%
61 laura_o            1762.75 MB            0.35%
62 juliana_f          1743.94 MB            0.35%
63 ana_n               854.25 MB            0.17%
64 dr._a              1270.17 MB            0.25%
65 beatriz_c          1027.15 MB             0.2%
66 carlos_v            761.89 MB            0.15%
67 nicolas_f           338.52 MB            0.07%
68 ian_c               132.36 MB            0.03%
69 ana_v              1458.06 MB            0.29%
70 kamilly_r          1554.04 MB            0.31%
71 vitor_b            1165.82 MB            0.23%
72 heloísa_g          1338.98 MB            0.27%
73 emilly_m            1936.0 MB            0.38%
74 olivia_m            166.23 MB            0.03%
75 ana_a               752.71 MB            0.15%
76 gustavo_m          1539.45 MB             0.3%
77 ravi_m              992.52 MB             0.2%
78 vinicius_p          873.23 MB            0.17%
79 luan_r              519.68 MB             0.1%
80 antônio_f           457.89 MB            0.09%
81 dr._m              1043.84 MB            0.21%
82 dra._g             1025.91 MB             0.2%
83 sr._r               115.05 MB            0.02%
84 joaquim_m            751.4 MB            0.15%
